raceId,year,driverId,constructorId,finish_points,grid,position,racer_name,constructor_name,qual_points,teammate_points
349,2010,1,1,25.0,2,1.0,Lewis Hamilton,McLaren,18,0.0
349,2010,17,9,18.0,1,2.0,Mark Webber,Red Bull,25,1.0
349,2010,9,4,15.0,3,3.0,Robert Kubica,Renault,15,1.0
349,2010,13,6,12.0,6,4.0,Felipe Massa,Ferrari,8,1.0
349,2010,16,10,10.0,8,5.0,Adrian Sutil,Force India,4,1.0
349,2010,3,131,8.0,14,6.0,Nico Rosberg,Mercedes,0,1.0
349,2010,30,131,6.0,21,7.0,Michael Schumacher,Mercedes,0,0.0
349,2010,155,15,4.0,17,8.0,Kamui Kobayashi,Sauber,0,1.0
349,2010,808,4,2.0,23,9.0,Vitaly Petrov,Renault,0,0.0
349,2010,24,10,1.0,12,10.0,Vitantonio Liuzzi,Force India,0,0.0
349,2010,37,15,0.0,24,11.0,Pedro de la Rosa,Sauber,0,0.0
349,2010,67,5,0.0,16,12.0,Sébastien Buemi,Toro Rosso,0,1.0
349,2010,153,5,0.0,11,13.0,Jaime Alguersuari,Toro Rosso,0,0.0
349,2010,807,3,0.0,9,14.0,Nico Hülkenberg,Williams,2,1.0
349,2010,20,9,0.0,4,15.0,Sebastian Vettel,Red Bull,12,0.0
349,2010,5,205,0.0,13,16.0,Heikki Kovalainen,Lotus,0,1.0
349,2010,810,166,0.0,22,17.0,Lucas di Grassi,Virgin,0,1.0
349,2010,10,166,0.0,20,18.0,Timo Glock,Virgin,0,0.0
349,2010,15,205,0.0,15,19.0,Jarno Trulli,Lotus,0,0.0
349,2010,29,164,0.0,19,20.0,Sakon Yamamoto,HRT,0,0.0
349,2010,4,6,0.0,10,,Fernando Alonso,Ferrari,1,0.0
349,2010,18,1,0.0,5,,Jenson Button,McLaren,10,1.0
349,2010,811,164,0.0,18,,Bruno Senna,HRT,0,1.0
349,2010,22,3,0.0,7,,Rubens Barrichello,Williams,6,0.0
350,2010,4,6,25.0,1,1.0,Fernando Alonso,Ferrari,25,1.0
350,2010,18,1,18.0,2,2.0,Jenson Button,McLaren,18,1.0
350,2010,13,6,15.0,3,3.0,Felipe Massa,Ferrari,15,0.0
350,2010,20,9,12.0,6,4.0,Sebastian Vettel,Red Bull,8,1.0
350,2010,3,131,10.0,7,5.0,Nico Rosberg,Mercedes,6,1.0
350,2010,17,9,8.0,4,6.0,Mark Webber,Red Bull,12,0.0
350,2010,807,3,6.0,8,7.0,Nico Hülkenberg,Williams,4,1.0
350,2010,9,4,4.0,9,8.0,Robert Kubica,Renault,2,1.0
350,2010,30,131,2.0,12,9.0,Michael Schumacher,Mercedes,0,0.0
350,2010,22,3,1.0,10,10.0,Rubens Barrichello,Williams,1,0.0
350,2010,67,5,0.0,14,11.0,Sébastien Buemi,Toro Rosso,0,1.0
350,2010,24,10,0.0,19,12.0,Vitantonio Liuzzi,Force India,0,1.0
350,2010,808,4,0.0,20,13.0,Vitaly Petrov,Renault,0,0.0
350,2010,37,15,0.0,16,14.0,Pedro de la Rosa,Sauber,0,0.0
350,2010,153,5,0.0,15,15.0,Jaime Alguersuari,Toro Rosso,0,0.0
350,2010,16,10,0.0,11,16.0,Adrian Sutil,Force India,0,0.0
